id,地址
17311,圓通路
17311,中正路
17311,連城路
17311,金城路
17311,延和路
17311,立德路
17311,明德路
17311,清水路
17311,裕民路
17311,中央路
17311,中華路
16515,明志路
16610,北新路
16610,北宜路
16611,華潭路
16611,華潭街
16611,華潭路
16611,華城路
16693,三和路
16603,文化二路
16603,中山路
16603,中山路、昌平街
16603,思源路
16258,北深路
16258,文山路
16609,民安東路
16609,中正路
16602,忠義路
16602,中央路
16602,介壽路
16753,深澳坑路
16578,淡金路
16578,公埔子陳厝路
16753,明燈路
16753,汽車路
17700,柑園街
16581,清水路
16611,安康路
16611, 北新路
16611,北新路
16611,光明街
16611,北新路
16611,中正路
16479,民安西路
16603,思源路
16603,中正路
16603,思源路
16603,民生路
16603,文化路
16603,府中路
16603,文化路
16603,民生路
16602,介壽路
16602,橫溪路
16602,溪東路
16258,木柵路
16660,淡海路
16755,汽車路
16755,明燈路
16571,中正路
16571,重新路
16584,重新路
17013,大同路
16748,九芎街
16642,明燈路
17940,安祥路
17835,思源路
17835,民生路
17835,文化路
17835,府中路
16486,民安西路
16515,民安西路
17304,裕民路
17304,八德街
16590,北宜路
16513,文化路
16513,民生街
16513,三樹路
17537,忠四街與文化路
17537,忠四街
16691,寶橋路
10196,學成路
10196,中華路
16599,重慶路
16599,國慶路
16732,大度路
17838,中山北路
17838,新春路
17838,新春街
16513,三樹路
16513,大學路
16513,學勤路
16513,佳園路
16513,柑園街
16538,中山路
16538,中山北路
16602,中央路
16663,三樹路
16663,佳園路
16663,柑園街
16599,重慶路
16599,和平路
16599,信義路
17545,中山路
16601,金城路
16601,千歲路
16601,金城路
17545,中山路
16515,明志路
16611,中正路
16611,景平路
16611,安平路
16611,景平路
16611,泰和街
16611,中和路
16611,景安路
16663,自由街
16663,中興路
16663,中山路
16663,亞洲路
16663,中華路
16663,中央路
16663,中華路
16663,亞洲路
16663,中山路
16601,永豐路
16602,竹崙路
16602,成福路
16602,溪東路
16731,重陽路
16739,基金一路
10151,樹新路
17625,橫窠雅路
16560,三樹路
17625,泰林路
17013,新台五路
16560,三樹路
16581,景平路
16611,景安路
16611,景平路
16611,復興路
16611,中正路
10164,文化路
16423,文化路
16610,央北二路
16610,溪園路
16614,文化路
17524,復興路
17719,復興路
16731,忠孝東路
16490,思源路
16490,五權三路
16490,五工路
16490,思源路
16490,中原路
16731,重陽路
10196,介壽路
10196,金城路
17940,安祥路
17940,建業路
17940,安康路
16849,登林路
17940,安祥路
16607,復興路
16607,民生街
16607,三樹路
16513,佳園路
16513,中山路
16513,中山路三段+中州街
16513,中山路
16513,樹新路
16592,五工路
17545,中山路
17545,龍米路
17545,忠四街與文化路
17545,忠四街
17545,中山路
17838,新春街
17838,新民街
17838,新生街
17838,文化路
17838,中山路
17838,中正東路
17838,中山路
17838,文化路
17838,新生街
17838,新民街
17838,新春街
17838,中山北路
17838,濱海路
17838,義山路
16513,新樹路
16513,中正路
16513,中正路上近登龍街
16513,中正路
17545,三信路
17545,五華街
17545,集賢路
17545,中山ㄧ路
17545,中山二路
17545,和平路
17545,長榮路
17545,中原路
17545,商港路
17545,中山路
16601,永豐路
16601,明德路
16601,金城路
17510,後洲路
16497,中正東路
16695,中正東路
17510,後洲路
16431,後洲路
17310,淡金路
17310,淡金路忠愛街
17310,淡金路
16745,中山路
16467,南雅南路
11244,仁義街
11244,河邊北街
11244,仁義街
16518,中平路
16490,榮華路
16490,中原路
16490,思源路
17310,淡金路
16602,成福路
16602,竹崙路
16603,文化北路
16603,忠孝路
16603,文化三路
16603,中山路
17310,淡金路
17311,中華路
17311,裕民路
17311,清水路
17311,延吉街
17311,立德路
17311,延和路
17311,金城路
17311,連城路
16603,思源路
16603,中山高速公路
16603,粉寮路
16603,仁愛路
16603,竹林路
16603,文化一路
16603,仁愛路
16603,文化二路
17546,文化三路
16800,仁愛路
16802,文化一路
16802,中華路
17700,佳園路
16599,信義路
16599,國慶路
16599,和平路
16599,重慶路
16599,文化路
16599,漢生東路
16599,國光路
16599,中正路
16599,公館街
16599,英士路
16599,新海路
16599,漢生西路
16599,漢生東路
16599,中山路
17546,文化二路
17546,中山路
16258,北深路
17546,民權路
17546,文化三路
17532,三民路
17532,中正路
17791,五工路
16393,杭州南路
16393,羅斯福路
16393,新烏路
16686,中山路
16686,保安街
16686,中正路
16686,萬壽路
16599,中山路
16599,重慶路
17310,淡金路
17545,商港路
16732,淡金路
16688,淡金路
16688,民權路
